## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:75420262	pair_mapped:51438067	pair_mixed:20568016	single_mapped:0	unmapped:3414179	unique:44223530	ambig:27782553	overlap_unique:283285	overlap_ambig:1907943
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
HERVH_20p12.1b	5815	12273	8949.00	0.00646	221434	1866	10032	11107	11092.30	0.00544
HERVH_10q21.1a	5805	9744	6089.00	0.00429	266226	589	9736	10488	10478.35	0.00403
HERVH_14q21.1a	5888	9383	5882.00	0.00557	306208	820	7953	8522	8514.04	0.00487
HERVH_8q23.3d	6036	9329	6091.00	0.00363	245829	1226	11686	12856	12832.65	0.00335
HERVH_14q21.3b	5742	9322	8741.00	0.00612	34561	2905	9629	9874	9887.44	0.00604
HERVH_5p15.2b	4723	9244	2866.00	0.00348	305212	471	13382	15596	15640.36	0.00325
HERVH_5q23.2g	6369	8830	6118.00	0.00529	284477	1200	7531	8568	8568.25	0.00481
HERVH_3q26.32b	5745	8452	6543.00	0.00383	191979	844	8742	9095	9089.75	0.00374
HERVH_2p14b	5233	8147	5969.00	0.00481	231931	710	7460	8192	8161.49	0.00465
HERVH_16p13.12	5479	7243	4320.00	0.00326	267697	652	7375	7998	7993.68	0.00321
HERVH_4q13.1	5808	7238	5528.00	0.00612	275777	956	7041	9971	9979.78	0.00634
MER4B_11q13.2	4019	7136	7135.00	2.8e-07	31392	7135	18413	21743	21703.50	4.71e-06
HERVH_8q13.3b	5724	7118	4016.00	0.00299	312349	951	7991	9340	9322.83	0.00307
HERVH_Xq25a	5782	6380	4801.00	0.00453	243232	463	5896	6385	6349.30	0.00425
HERVH_6q23.2f	5868	6332	4213.00	0.00319	243491	488	6433	7286	7260.54	0.00305
HERVH_9q21.33f	6013	6292	3956.00	0.00402	332154	552	5955	6591	6558.60	0.00382
HERVH_Yp11.2c	4926	5982	5138.00	0.00392	150490	294	5467	5779	5785.25	0.00367
HERVH_4q22.1i	6157	5963	4781.00	0.00391	172265	672	5580	5907	5918.65	0.00376
HML2_22q11.21	9175	5734	5314.00	0.00424	10266	16	2109	3315	3344.40	0.00185
HERVH_4q27	6003	5119	3597.00	0.00382	272184	635	5012	5605	5608.67	0.00365
HERV9_Yq11.221d	10316	5041	4885.00	0.00332	6350	3651	5221	5234	5235.50	0.00335
HERVH_Xq25b	5723	4754	3503.00	0.00217	195271	391	4991	5351	5373.92	0.00225
HERV4_11q21	7525	4477	4476.00	0.00305	4529	4453	4482	4499	4498.33	0.00305
HERVH_3q27.3b	5759	4247	2831.00	0.00281	295858	652	4290	5421	5390.12	0.00282
HERVH_1p34.3d	5666	3753	3334.00	0.00122	43301	675	3714	3798	3784.91	0.00116
HERVH_6q22.31h	5916	3716	2101.00	0.00232	316061	159	3427	4368	4359.29	0.00231
HERVH_7p15.3c	5741	3622	2450.00	0.00183	260102	445	4134	4646	4631.42	0.00195
HARLEQUIN_Yq11.221c	7418	3553	3545.00	0.000114	4216	3528	3664	3682	3679.50	0.000114
HERVH_9q31.1	6341	3550	2941.00	0.00207	19869	1029	3213	3335	3336.22	0.00207
HERVH_2q34d	5620	3474	2589.00	0.00214	187183	332	3886	4143	4131.78	0.00244
HERVIP10F_3p21.31	6053	3450	3426.00	0.00244	3512	3260	3466	3475	3474.00	0.00244
HERVS71_19q13.12a	6171	3290	3168.00	0.00218	4712	2171	3544	3769	3752.96	0.00221
HML6_19q13.43b	9597	3219	2927.00	0.00153	4346	2653	3544	3658	3655.55	0.00158
HERVH_8q24.22a	5673	3168	2282.00	0.00133	38576	456	3121	3278	3286.81	0.00128
HERVH_7q21.3b	5618	2717	2527.00	0.00179	33490	708	2671	2711	2702.36	0.00177
HUERSP1_6q27	7175	2708	2650.00	0.000976	3344	2589	2916	2993	2987.00	0.000976
HERVH_Xq23f	5489	2590	2387.00	0.00107	55735	514	2618	2692	2685.09	0.00107
HERVH_5q21.3a	5499	2578	1529.00	0.00136	191473	281	2843	3731	3719.86	0.00165
HERVH_19q13.12a	5549	2576	2243.00	0.00187	90366	169	2530	2678	2663.33	0.00178
MER61_5p14.1	5900	2487	2482.00	0.00157	2559	2461	2508	2522	2520.09	0.00157
HERVH_1q42.2c	5831	2413	1567.00	0.0015	264303	336	2774	3272	3227.87	0.0017
HERVH_2q32.1d	5639	2366	2183.00	0.00111	15383	1065	2703	2799	2805.14	0.00111
HERVH_6q16.1a	5594	2353	1335.00	0.000844	331806	168	3313	3924	3945.31	0.00131
HERVH_Xq21.33a	6270	2348	1941.00	0.000765	183264	824	2637	2966	2954.79	0.00102
HERVH_6q16.1b	5692	2283	1558.00	0.00147	242668	209	2274	2846	2856.01	0.00166
HERVH_Xq21.31a	5965	2247	1426.00	0.00175	305800	295	2454	3431	3395.27	0.00215
HERVH_10q24.31a	7479	2205	1997.00	0.00108	7206	1507	2592	2701	2694.01	0.00108
MER41_Xq25b	724	2182	2179.00	0.00162	2192	2174	2183	2188	2187.00	0.00162
HERVI_12p13.31	8749	2157	2127.00	0.0015	2191	2099	2146	2155	2155.00	0.0015
HERVH_9q33.1b	5738	2064	1708.00	0.000954	99689	136	2206	2294	2294.16	0.000967
HERVH_Yp11.2b	5641	2050	1132.00	0.00145	226019	73	2381	2895	2890.81	0.00231
HERVH_10q23.31c	5740	2043	1486.00	0.00143	178380	201	2124	2667	2660.77	0.00167
HERVH_20p12.1c	4810	2037	1952.00	9.11e-05	202689	1683	2371	2890	2843.18	0.000458
HERVH_4q22.1f	6060	1984	1524.00	0.00129	175062	304	2127	2508	2534.93	0.00141
HML4_8q24.3	11675	1678	1631.00	0.00111	1779	1218	1721	1726	1726.70	0.00111
HERVH_2q33.3a	5788	1635	1021.00	0.0011	244609	84	1781	2190	2163.95	0.00133
HERVH_7q35c	5407	1611	1211.00	0.00097	71830	412	2002	2181	2164.49	0.000956
HERVH_5p14.3a	5756	1594	1015.00	0.000215	205261	244	1942	2270	2286.96	0.000363
HERVH_5p15.31b	5752	1576	915.00	0.000904	240544	71	1848	2730	2738.90	0.00109
HERVH_1p13.2b	5910	1506	1270.00	0.000596	4313	839	2011	2038	2037.04	0.000599
HERVH_1p31.1j	5925	1456	1119.00	0.000538	140021	257	1708	1817	1821.98	0.000624
HERVW_13q21.1	8112	1437	1383.00	0.000952	6396	766	1520	1758	1750.17	0.000953
HERVH_13q21.1b	5872	1351	810.00	0.000559	250809	161	2821	3377	3378.18	0.00139
HERVH_14q22.1a	3721	1337	1057.00	0.000458	241096	345	1844	2701	2743.39	0.00104
HERVH_4p15.2b	4927	1328	1049.00	0.000891	89015	87	1275	1388	1383.44	0.000909
ERV316A3_8q13.3a	4749	1304	1300.00	3.03e-05	9852	1298	3082	3145	3147.00	3.21e-05
HERVIP10F_22q13.2	8446	1277	1259.00	2.13e-05	2179	1233	1483	1489	1490.00	2.42e-05
HERVK11_8p23.1a	7056	1273	166.00	0.000505	2960	46	413	771	776.12	0.00045
HERVK11_15q15.1	4013	1269	1244.00	0.000787	1375	1001	1311	1315	1314.50	0.000816
ERV316A3_18q11.2c	1591	1262	1258.00	0.000965	1281	1241	1271	1276	1274.50	0.000965
HERVH_3q25.2d	6362	1224	1134.00	0.000712	15416	255	1594	1655	1653.11	0.000707
HERVH_16q22.1	9596	1219	871.00	0.00083	239818	205	1591	2093	2068.70	0.00114
HERVH_2p14c	5614	1192	926.00	0.000793	112924	126	1498	1779	1786.32	0.000876
LTR46_Xq11.1	8410	1155	1151.00	0.000769	1337	1143	1181	1215	1211.17	0.000769
HERVH_22q12.1	2822	1109	1056.00	4.74e-05	152884	995	1233	1454	1459.42	0.000273
HERVW_4p13	7459	1074	1032.00	0.000763	2247	748	1147	1147	1148.05	0.000765
HERVK11_4p16.3	7038	1073	951.00	0.000429	2674	250	1135	1153	1150.78	0.000438
HERVH_2q32.1b	8208	1062	893.00	0.00077	128272	84	1135	1396	1391.58	0.0009
HERVH_11q23.3b	3981	1027	863.00	0.000709	45664	114	1124	1196	1199.61	0.000694
HERV3_7q11.21	9613	980	979.00	0.000473	1143	963	1003	1023	1023.50	0.000473
HERVI_18q21.1	9680	970	968.00	0.00053	1008	952	974	977	978.25	0.00053
HERVS71_10q21.1	9722	946	945.00	0.000683	955	921	948	949	949.00	0.000683
HERVS71_8p23.1b	7316	938	230.00	0.000419	1470	1	275	630	617.22	0.00034
HUERSP2_21q22.3	5772	923	918.00	0.000486	1352	912	976	1008	1007.17	0.00054
PABLB_9q34.3	6097	922	915.00	0.000491	966	896	923	928	927.00	0.000491
HERVH_Xq23l	5775	917	578.00	0.000565	263034	116	1427	2052	2068.96	0.00109
HERVH_10p14b	5871	907	642.00	0.000287	202378	137	1052	1246	1255.57	0.000467
HERVH_2q33.1a	9317	898	867.00	0.000655	8528	572	928	938	937.85	0.000664
HERVL74_16q24.3	1295	847	847.00	0.000518	854	847	849	851	850.50	0.000518
HUERSP3B_16p11.2a	6990	845	838.00	0.000423	930	827	860	874	873.67	0.000423
HERVH_Xq22.2c	4246	837	731.00	0.000382	3043	370	890	928	920.05	0.000382
MER61_12p13.31b	3455	812	808.00	0.00055	861	791	814	823	821.50	0.00055
MER41_Xq25a	3488	779	779.00	0.00067	818	776	785	791	791.22	0.00067
HUERSP3_6p21.32	7265	769	739.00	0.000571	1024	696	818	855	864.50	0.000591
HERVH_1q42.2a	7879	752	679.00	0.000305	50418	62	845	880	884.03	0.00033
HERVH_5q32a	4394	726	399.00	0.000308	149771	136	1002	1348	1349.95	0.000598
HERVH_6p22.3c	5727	726	598.00	0.000269	49838	187	777	805	806.72	0.000279
HERVH_21q22.13	4583	718	669.00	0.000486	25134	293	705	750	747.47	0.000487
HERVH_2p25.1	6186	696	485.00	0.000352	208565	89	826	1147	1154.15	0.000617
HERVH_6q24.1c	6117	688	430.00	0.000228	197715	126	1060	1319	1324.87	0.000437
HML5_12q12a	4958	682	680.00	0.000422	721	649	694	695	696.07	0.000422
HERV3_7q34a	9392	674	674.00	0.000436	691	673	675	676	676.00	0.000436
HERVH_7q11.23b	9651	667	636.00	0.000274	8050	392	684	696	697.24	0.000274
ERV316A3_5p14.3d	6365	664	664.00	0.000463	671	664	669	670	669.50	0.000463
HERVH_6q23.2c	5765	656	489.00	0.000514	236241	87	833	1111	1103.25	0.000751
MER4B_Xq23a	6662	645	625.00	0.000275	847	607	676	688	691.33	0.000275
HML5_12q23.1	6097	637	637.00	0.000516	641	609	638	638	638.00	0.000516
ERVLB4_9q22.33b	2071	630	630.00	0.000526	635	630	632	633	632.50	0.000526
ERVLB4_17q22c	1963	619	619.00	0.000477	626	616	620	623	622.50	0.000477
HML2_11q23.3	9160	617	479.00	0.000502	5984	57	905	953	946.03	0.00065
ERVLB4_4q22.1d	3216	616	616.00	0.000441	619	616	616	616	616.08	0.000441
HARLEQUIN_17q21.31	7453	605	599.00	0.000462	725	356	621	627	627.86	0.000464
ERVLE_15q25.3b	2292	595	595.00	0.000395	598	595	595	596	595.50	0.000395
HERVH_2q14.1c	5757	595	368.00	0.000301	224862	37	893	1188	1177.22	0.000591
HERVH_8q24.21b	5730	593	422.00	0.000358	162127	48	698	830	837.25	0.000544
HERVH_13q14.3c	5741	586	473.00	0.00031	50518	189	1033	1080	1079.97	0.000333
HERVL_12p13.1c	12387	583	583.00	0.000448	604	574	583	586	585.50	0.000448
HERVE_8p23.1h	8324	580	507.00	0.000319	781	0	148	341	339.95	0.000201
HUERSP3_6q22.31	9240	579	577.00	0.000472	594	572	584	587	586.50	0.000472
HERVH48_21q22.3	9135	565	565.00	0.000283	615	521	570	572	571.00	0.000284
HERVK11_8p23.1b	7038	563	11.00	0.000354	3128	1	94	729	745.29	0.000381
HERVIP10FH_21q22.12	4981	537	537.00	0.00027	568	446	553	554	553.52	0.00027
MER4_Xp22.2d	5765	536	533.00	0.000412	1888	500	532	542	540.52	0.000412
HERVL_22q13.31	6914	533	527.00	0.00041	594	414	535	540	538.67	0.000413
HERVH_7p21.1b	5847	533	498.00	0.000292	20608	293	582	603	605.86	0.000299
HERVH_2q32.1c	5787	530	410.00	0.000235	101959	107	682	797	791.73	0.000306
MER101_16p12.2a	1098	528	61.00	0.0002	614	0	0	129	128.84	6.26e-05
ERV316A3_6p21.33c	5624	524	524.00	0.000396	532	523	524	524	524.50	0.000396
HERVH_7q31.1a	5846	524	452.00	0.000149	30639	91	543	570	571.58	0.000158
HML6_Xp11.22	4713	522	522.00	0.000363	530	495	525	527	526.00	0.000363
HML1_19q13.43	8274	520	520.00	0.0003	549	509	520	522	521.00	0.0003
MER4B_Xq21.33	9585	517	512.00	0.000358	547	505	520	523	521.50	0.000358
HERVH_5q35.1a	5784	513	440.00	0.000325	50696	95	558	602	605.35	0.000339
HERVH_4q28.3a	5860	509	447.00	0.000254	23324	118	514	523	522.67	0.000256
HUERSP3B_16p11.2b	3541	508	507.00	0.000247	570	500	517	518	517.33	0.000247
HERVW_2p22.3	7034	489	487.00	0.00031	740	375	494	495	495.75	0.00031
ERVLB4_21q21.3e	3529	471	470.00	0.000299	497	406	472	477	476.00	0.000299
MER41_1q44a	2764	467	465.00	0.000341	491	461	474	477	476.50	0.000341
HERVH_6q23.2a	5840	461	322.00	0.000347	188631	85	554	769	773.23	0.000571
HERVH_4q22.1b	1626	461	138.00	0.000278	52227	33	873	1092	1104.55	0.000465
HML4_17q21.31	28633	449	444.00	0.000351	1055	417	448	607	612.98	0.000457
HML5_2p13.2	7719	448	448.00	0.000255	456	444	449	449	450.00	0.000255
HERVH_19q13.42c	5595	430	394.00	0.000325	50248	91	439	628	605.62	0.00036
HERVH_12q21.31	5770	427	337.00	0.000278	73157	96	482	558	561.32	0.000302
HERVH_4q22.1j	5701	423	264.00	0.000171	262707	133	1888	2799	2810.52	0.00104
HERVH_13q14.3d	2602	418	203.00	0.000235	128901	40	971	1381	1403.94	0.0005
ERVLE_12p11.23	1055	412	411.00	0.000186	424	411	416	416	416.50	0.000186
HERVH_20q12a	5900	405	69.00	0.000225	121395	18	3366	3858	3884.94	0.00188
ERV316A3_4p15.32b	1013	401	401.00	0.000196	408	401	401	401	401.50	0.000196
HERVH_7q11.21	7353	396	396.00	0.000276	406	396	398	398	398.00	0.000276
MER61_1q31.1a	2510	394	392.00	0.000135	462	387	418	425	426.50	0.000135
MER4_3q29f	3792	380	379.00	0.000291	426	219	391	397	397.50	0.000291
HERVH_19q12	4090	378	352.00	0.000241	15254	186	370	375	375.56	0.000243
MER4B_Xq26.2a	3065	373	373.00	0.000229	389	361	377	379	378.00	0.000229
MER4_9q22.31b	2480	370	370.00	0.000143	388	366	373	376	374.50	0.000143
HERVH_5q22.1	4578	360	354.00	5.61e-06	36317	292	375	409	406.32	7.86e-06
HERVH_Xq23h	5971	348	136.00	0.000192	356661	44	3632	5558	5528.41	0.00181
HERVIP10FH_14q11.2	6143	345	341.00	0.000261	411	241	355	357	360.00	0.000261
HARLEQUIN_19p12b	6994	337	333.00	0.000238	432	240	341	348	346.63	0.000238
HUERSP3B_Xp11.22	3825	337	336.00	0.00022	348	300	341	341	342.25	0.00022
HERVH_Xp22.32b	5718	337	223.00	0.000184	201153	10	438	918	920.36	0.000563
HERVS71_7p14.3	10030	334	329.00	0.000248	348	312	335	338	336.50	0.000249
HERVL_11q12.1c	1268	333	333.00	0.000309	339	329	337	337	337.00	0.000309
MER101_7q36.1a	4546	332	332.00	2.33e-07	2523	331	445	459	454.50	1.91e-06
HERVH_14q21.3c	5887	331	267.00	0.000196	37147	107	445	497	496.09	0.000208
ERV316A3_6p25.1b	1879	330	329.00	0.000177	336	329	333	333	333.50	0.000177
HERVW_1p33a	5545	330	321.00	0.000173	531	215	336	339	339.00	0.000178
HERVH_2p16.1e	5051	321	235.00	0.000144	114438	23	451	649	641.40	0.000333
MER101_12p13.31b	3365	318	318.00	0.000146	322	316	318	319	318.33	0.000146
HERVH_2q35b	5824	315	209.00	0.000164	221422	112	635	1025	1027.39	0.000527
MER61_19p12c	1881	315	315.00	0.000112	324	313	319	321	320.50	0.000112
PRIMA4_12p11.21a	4080	310	305.00	0.000215	616	299	347	393	388.00	0.000215
HERVH_8p23.1c	3538	309	84.00	0.00014	9060	0	91	194	198.77	9.62e-05
HERVH_12q22	6029	308	188.00	0.000133	271927	48	800	1323	1327.30	0.00057
ERV316A3_5p14.1e	758	306	306.00	0.000277	309	305	307	307	307.50	0.000277
HERVP71A_2q32.2	6452	305	305.00	0.000236	312	304	305	305	305.00	0.000236
ERV316A3_6q24.1a	6170	301	301.00	0.000248	313	299	304	307	307.50	0.000248
HML6_19q13.41f	7244	296	295.00	0.000196	310	267	302	302	302.00	0.000196
HERVH_6q22.1c	6404	296	279.00	0.000118	3062	117	413	444	441.84	0.000118
HERVL18_9p24.1	6463	293	293.00	0.000159	295	284	294	295	294.50	0.000159
HERVE_19p13.2	4373	291	291.00	0.000232	295	287	294	295	294.50	0.000232
HML3_5p15.33c	3112	291	286.00	0.000205	371	85	298	306	302.64	0.000203
ERVL_Xp11.22a	5983	283	283.00	0.000222	326	283	285	288	287.95	0.000222
MER4_19p12a	2211	283	280.00	0.000121	409	276	315	331	333.00	0.000121
MER4_4q13.2a	5802	282	282.00	0.00014	4644	275	294	304	305.72	0.00014
MER41_22q12.3e	7271	281	281.00	0.000228	295	280	282	284	284.50	0.000228
HERVH_6q16.1c	5838	281	164.00	0.000187	294659	21	502	828	819.73	0.000636
HML3_5p15.33d	4350	280	275.00	0.000171	324	155	281	284	285.00	0.000169
HERVW_7q31.32	5941	279	277.00	0.000137	319	212	282	285	284.00	0.000137
HERVL_1q42.2	5087	278	276.00	0.000223	323	198	291	292	292.40	0.000223
HERV4_19q13.43b	2886	278	275.00	0.000174	309	270	279	281	281.00	0.000174
HERVH_4p16.3c	5635	274	243.00	0.000159	22793	90	323	333	337.29	0.000173
PABLA_16p13.3a	1413	272	270.00	0.000184	319	266	279	279	279.83	0.000184
HERVH_1p13.2a	5659	267	253.00	0.00016	9993	157	290	306	307.29	0.000161
HERVL_10p13a	6533	260	260.00	0.000166	266	250	261	261	261.00	0.000166
HERVL_3p26.2	6896	257	256.00	0.000157	395	230	257	275	275.81	0.000168
HERVH_12p13.31c	5698	257	181.00	0.000109	59780	27	377	619	636.33	0.000254
HUERSP3B_Xq13.2b	6550	251	250.00	0.000172	266	234	253	253	253.58	0.000172
HERVS71_4p16.3	7334	250	228.00	0.000161	962	21	298	299	303.68	0.000196
HERVH_14q24.2a	8443	250	221.00	0.000127	15012	61	258	322	325.93	0.000128
HERVH_Xq22.2b	1741	249	237.00	0.000194	1411	119	281	292	300.94	0.000198
MER4_Yq11.221b	7441	249	246.00	0.00016	277	231	254	256	255.60	0.00016
HML2_8p23.1d	9528	240	60.00	9.34e-05	665	0	49	135	136.09	5.61e-05
HERVE_2q37.1	8132	238	226.00	0.000184	369	195	277	278	279.00	0.000201
PRIMA4_12p11.21b	7481	237	237.00	0.00014	396	231	244	246	247.33	0.00014
HERVFH21_11p15.4	6144	234	233.00	9.65e-05	234	229	234	234	234.00	9.65e-05
PABLB_7q11.21	8956	232	229.00	0.000106	336	226	251	259	260.00	0.000106
HERVE_19q12	8838	231	230.00	0.000173	246	209	230	232	231.00	0.000173
HERVH_14q11.2b	2213	230	228.00	0.000142	460	158	234	235	235.15	0.000143
HERVIP10FH_4p13	7200	229	227.00	0.000131	275	177	235	235	235.50	0.000131
HERV3_19p13.3	2229	229	219.00	5.16e-05	378	148	267	281	278.50	5.16e-05
HERVL_9q32	3725	226	226.00	0.000163	253	196	227	227	227.50	0.000163
HERVH_4q32.3b	5930	226	147.00	0.000159	211853	36	409	691	663.17	0.000324
ERV316A3_15q24.1b	8742	225	225.00	0.000122	349	221	232	235	234.00	0.000122
ERVLE_6q14.1e	4255	223	221.00	0.000159	272	218	229	230	229.50	0.00016
HUERSP3_11p15.1	8314	219	218.00	0.000147	227	218	220	221	220.83	0.000147
MER41_Xq21.33b	4545	219	219.00	8.94e-05	242	216	226	229	229.50	8.94e-05
HML6_19q13.41c	4551	215	214.00	0.000164	219	214	215	215	215.00	0.000164
PRIMA4_10p12.1	20590	214	214.00	0.000148	664	214	227	231	232.17	0.000164
HML3_13q12.11a	4909	213	206.00	0.000139	358	120	230	236	235.08	0.000144
HERVL_Xq23b	5061	213	210.00	0.000127	235	177	213	214	214.00	0.000128
HERVEA_19p13.11	2255	211	208.00	0.000169	223	123	210	211	212.50	0.000169
HERVH_5q23.2a	4621	211	173.00	3.81e-06	295155	50	642	1550	1546.86	0.000807
HARLEQUIN_5q14.2	6470	210	208.00	0.00016	271	184	221	221	221.00	0.00016
HML1_11q13.4	8585	209	209.00	0.000155	229	206	210	210	210.00	0.000155
PABLA_19p12b	5980	207	206.00	0.000112	1736	194	208	211	209.50	0.000113
HERVH_15q26.2a	5831	206	138.00	0.0001	257280	48	721	2085	2089.84	0.000941
ERVLB4_3p21.31a	4979	204	203.00	6.06e-05	263	203	211	214	214.75	6.22e-05
ERV316A3_1p32.3b	3601	203	203.00	0.000125	215	203	208	209	208.50	0.000125
ERV316A3_7q31.1c	6561	203	202.00	1.84e-11	1747	199	682	692	688.83	1.84e-11
MER4_9q22.31a	3453	201	200.00	0.000146	215	196	202	204	204.00	0.000146
HERVL_1q42.13	2422	201	201.00	0.000145	205	188	202	202	202.00	0.000145
ERV316A3_21q22.3e	6349	197	197.00	0.000134	214	197	200	201	202.50	0.000134
HERVH_4q31.21b	4681	195	118.00	2.96e-05	89575	50	260	466	485.12	0.000132
MER41_1q44b	3137	193	192.00	9.57e-05	232	184	207	208	207.50	9.73e-05
HERVH_15q14a	5209	193	102.00	6.82e-05	177036	13	370	680	666.68	0.000316
ERVLB4_10p13c	9150	192	191.00	0.000101	198	191	193	194	194.00	0.000101
HERVL_7p21.3a	6266	191	191.00	0.000161	216	162	192	192	192.00	0.000161
LTR19_6q25.3b	1875	189	189.00	0.000117	195	188	192	192	192.50	0.000117
HERV9_5q31.2	9460	187	177.00	0.000117	577	137	202	203	202.61	0.000124
HERVH_14q31.3d	6101	187	157.00	8.89e-05	26145	48	171	188	185.81	9.41e-05
HERVH48_Xp11.21	5937	186	186.00	0.000127	193	182	187	188	187.50	0.000127
HARLEQUIN_21q22.3b	6006	186	186.00	0.000124	232	112	186	186	186.00	0.000124
HERV4_19q13.43a	1908	184	184.00	0.000153	185	184	184	184	184.50	0.000153
HARLEQUIN_1p13.2a	6545	183	182.00	0.000139	225	140	189	189	190.20	0.000139
HUERSP3_11p13	9664	183	183.00	0.000116	200	181	184	185	185.00	0.000117
HML3_19q13.2	6672	183	181.00	0.00011	281	165	184	185	184.92	0.000111
MER41_19p12a	1987	182	181.00	0.000111	190	181	183	183	183.00	0.000111
HERVH_17p12	5192	182	124.00	8.65e-05	110618	25	267	311	320.74	0.000161
HML6_19p12e	6400	182	182.00	5.48e-05	224	176	182	183	182.50	5.48e-05
HERVH_3p11.1b	3745	182	165.00	4.75e-05	9646	105	260	289	292.15	4.96e-05
HERVH_6p23	5882	180	105.00	0.000105	268351	41	801	1341	1341.13	0.0007
HERVH_1p34.2a	3173	179	178.00	0.000118	277	164	181	182	182.00	0.000118
MER4_16q24.3	11936	178	177.00	7.6e-05	333	171	186	192	191.77	7.61e-05
HERVH_5q23.2d	5705	178	132.00	7.27e-05	45762	44	230	260	265.38	8.46e-05
HERVH_4p16.1d	5781	178	158.00	6.82e-05	17598	31	198	215	216.00	8.18e-05
HERVH_Xq13.2c	8921	176	176.00	0.000141	262	152	176	178	177.00	0.000141
HUERSP3_1p36.13	2564	176	176.00	0.000134	184	175	177	178	178.03	0.000134
ERVLE_4q22.1b	575	172	163.00	0.000117	176	163	164	168	168.33	0.000117
HML2_1q21.3	1777	171	151.00	0.000118	896	66	178	182	180.12	0.000122
MER4_Xq21.33d	2595	171	169.00	9.76e-05	234	159	183	196	193.40	9.76e-05
HERVH_2q24.1c	5761	171	160.00	9.72e-05	54012	61	195	251	248.38	0.000138
HML2_4p16.1b	9595	170	127.00	7.49e-05	485	14	169	177	176.31	7.58e-05
HERVH48_19p12b	6266	169	169.00	0.000128	180	162	170	172	171.50	0.000128
MER4_Xq21.31c	4199	169	169.00	1.09e-09	924	168	207	211	211.00	1.09e-07
MER101_2q37.1	3028	167	167.00	4.9e-05	181	165	169	169	169.25	4.9e-05
HML2_3q12.3	9123	166	117.00	0.000113	3943	49	246	292	296.63	0.000182
HERVL_Xq21.33h	5777	164	164.00	0.00011	173	154	165	165	165.50	0.00011
MER34B_22q13.31	1598	164	164.00	7.3e-05	186	164	164	168	166.33	7.3e-05
HML5_2p23.3	2714	163	158.00	0.000111	345	152	165	167	166.00	0.000112
